id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index,highlights,notes
401309598,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3625,Centennial Bank Stadium,2032,Arkansas State,Sun Belt,40.0,3.0,3.0,14.0,20.0,0.9955815718043012,2110,Central Arkansas,,21.0,7.0,0.0,7.0,7.0,0.0044184281956988,5.4186020668,,
401309602,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3975,Veterans Memorial Stadium,2653,Troy,Sun Belt,55.0,14.0,20.0,14.0,7.0,0.9922329898075638,2582,Southern,,3.0,0.0,3.0,0.0,0.0,0.0077670101924361,1.2421414423,,
401300997,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3805,Liberty Bowl Memorial Stadium,235,Memphis,American Athletic,42.0,10.0,19.0,6.0,7.0,0.9898961142112114,2447,Nicholls,,17.0,7.0,0.0,7.0,3.0,0.0101038857887886,2.011227055,,
401282611,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3876,Peden Stadium,195,Ohio,Mid-American,9.0,0.0,6.0,0.0,3.0,,183,Syracuse,ACC,29.0,9.0,3.0,10.0,7.0,,,,
401287890,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,23.0,6.0,14.0,0.0,3.0,0.866842312600251,2623,Missouri State,,16.0,0.0,3.0,6.0,7.0,0.1331576873997489,5.7464549428,,
401300998,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3735,Gerald J. Ford Stadium,2567,SMU,American Athletic,56.0,7.0,28.0,14.0,7.0,0.9989704496065108,2000,Abilene Christian,,9.0,0.0,3.0,6.0,0.0,0.0010295503934891,1.219540259,,
401287886,2021,1,regular,2021-09-04T23:00:00.000Z,False,True,False,,3891,NRG Stadium,248,Houston,American Athletic,21.0,14.0,7.0,0.0,0.0,0.0110563959587854,2641,Texas Tech,Big 12,38.0,0.0,7.0,17.0,14.0,0.9889436040412144,6.4519450646,,
401282819,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,30.0,7.0,6.0,3.0,14.0,0.5320373839543777,204,Oregon State,Pac-12,21.0,7.0,0.0,0.0,14.0,0.4679626160456223,7.886416644,,
401282173,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Conference USA,50.0,0.0,21.0,7.0,22.0,,2405,Monmouth,,15.0,0.0,7.0,8.0,0.0,,,,
401281945,2021,1,regular,2021-09-04T23:30:00.000Z,False,False,False,,3634,Ben Hill Griffin Stadium,57,Florida,SEC,35.0,14.0,0.0,7.0,14.0,0.9875935896218908,2226,Florida Atlantic,Conference USA,14.0,0.0,0.0,0.0,14.0,0.0124064103781093,1.5270157343,,
